# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
2,COSXIS,116.086,105.922,106.662,107.389,3.080,293
2,COTQUY,113.203,118.151,79.625,111.558,3.520,295
2,COTUCL13,107.722,112.840,99.338,116.499,3.460,293
2,COTUCL14,107.813,113.446,96.643,106.941,2.180,293
2,CPMBIC,116.587,109.229,107.050,105.822,3.000,295
2,CPMMIC,118.606,102.074,110.014,103.067,3.600,295
2,CPYDTC,111.956,112.882,98.664,112.072,3.200,295
2,CSPARC,114.001,108.150,90.388,106.280,4.000,295
2,CUFLUL,116.833,95.660,110.613,95.261,2.890,170
2,CUWSIW,113.007,102.698,103.376,113.338,4.400,295
2,DAGLAA,111.886,110.983,111.886,85.677,4.310,293
2,DAGLAY,126.038,133.820,50.256,49.885,4.900,140
2,DAGNIK,117.807,112.058,87.510,114.718,3.560,293
2,DAJVIT,119.251,105.249,106.835,109.760,3.200,295
2,DAPQOD,117.855,110.830,83.102,112.994,2.200,173
2,DARPIV01,96.541,124.440,95.354,123.215,4.200,295
2,DAYSAX,114.121,107.971,110.035,109.602,2.800,295
2,DEHBEZ,127.142,90.134,91.683,117.315,3.740,100
2,DEJREQ,114.224,110.697,114.224,95.838,3.270,150
2,DEQXAY,112.019,108.251,111.109,114.846,3.920,200
2,DEVYEI,114.399,112.265,108.460,109.521,2.300,295
2,DEVYIM,115.404,114.795,107.204,103.112,3.300,183
2,DEXRUU,122.053,94.352,94.796,121.994,4.900,120
2,DEYDUI,104.030,119.293,104.030,107.335,3.120,200
2,DEYDUI01,109.000,103.334,110.758,105.325,2.910,293
2,DEYGAR,109.820,104.917,111.745,105.263,3.530,293
2,DIFCAZ,84.150,125.950,85.107,114.905,4.460,150
2,DIHLAJ,92.582,122.125,115.597,92.445,2.650,173
2,DIMDAH,91.365,109.666,112.545,111.290,3.290,100
2,DIMDEL,90.571,107.444,115.262,109.165,3.200,100
2,DIMLAP,86.076,90.435,82.823,100.645,4.000,100
2,DIMLET,92.569,88.725,92.569,86.976,2.880,100
2,DIVRAE,125.987,85.070,115.090,97.840,4.410,123
2,DIWGAR,84.103,95.897,84.103,95.897,4.100,295
2,DIWGAR,84.448,95.552,84.448,95.552,4.100,295
2,DMDECO01,89.627,90.373,89.627,90.373,4.200,295
2,DMPZCO,113.925,109.613,94.261,113.813,3.500,295
2,DMPZCO,110.447,113.121,93.507,115.954,3.500,295
2,DOBYEA,95.684,84.331,95.713,84.272,2.630,100
2,DOBZEC,116.904,95.646,125.063,110.912,4.620,295
2,DOCTUM,80.510,80.463,99.910,99.260,3.780,100
2,DODNUG,113.175,110.418,113.175,115.336,4.550,293
2,DOFBUX,78.258,78.102,103.121,100.494,3.810,100
2,DOGLUH,90.997,125.290,104.227,100.526,4.230,200
2,DOLFIW,113.794,114.912,96.265,104.520,3.420,293
2,DOLFOC,113.937,122.759,96.608,110.088,3.460,293
2,DOLFUI,111.246,120.145,96.064,114.561,3.940,293
2,DOLFUI,112.472,111.654,94.710,104.085,3.940,293
2,DOXBUN,119.286,94.911,94.981,121.563,4.200,198
2,DOXBUN10,119.286,94.911,94.981,121.563,4.200,198
2,DOXGOM,113.822,120.892,99.635,102.165,3.600,295
2,EACBCO,91.862,85.332,91.862,90.702,5.000,295
2,EBAICO01,84.729,93.603,87.709,93.862,4.100,295
2,ECBIMA10,109.842,110.969,109.285,108.345,4.600,295
2,ECIXEW,126.908,93.547,90.437,120.310,2.800,293
2,ECIXEW,127.184,92.904,91.220,116.623,2.800,293
2,ECOSUN,114.292,112.672,84.508,112.532,2.920,150
2,EDETEP,116.106,115.000,103.587,104.215,3.330,223
2,EFAHOI,99.078,80.279,80.718,99.365,4.210,148
