# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
1,DUFZEJ,88.748,92.207,98.351,80.597,2.900,295
1,DUFZIN,87.819,93.762,97.588,80.835,4.800,295
1,DUMFIB,89.871,92.753,85.485,91.890,1.720,100
1,EBUREB,98.107,82.730,83.379,96.362,3.900,200
1,ECIFII,88.917,92.599,87.781,90.709,3.120,100
1,EDOBOP,82.222,96.838,93.542,87.354,2.690,180
1,EDOBUV,80.732,95.124,102.288,81.884,3.520,198
1,EDOCAC,81.343,92.789,101.708,84.148,4.060,198
1,EDOCEG,83.503,95.526,92.008,88.968,2.810,180
1,EDODIM,85.745,92.503,87.438,94.208,2.630,100
1,EDODIM,85.972,92.464,88.397,94.496,2.630,100
1,EDOYAZ,87.982,88.540,90.611,92.874,1.780,100
1,EFIDEE,100.431,99.159,62.545,97.739,4.540,150
1,EFITET,88.496,93.370,87.616,90.508,4.390,198
1,EGIBUU,91.961,85.792,93.411,88.638,2.920,100
1,EGICIH,79.777,93.552,92.241,94.535,4.260,173
1,EGICON,79.699,94.584,92.043,93.921,2.840,198
1,ELEDAA,89.714,88.845,91.012,90.624,3.080,293
1,ELEDEE,93.463,92.312,88.424,85.981,3.360,293
1,EMAXAR,86.457,90.657,91.452,91.441,2.520,293
1,EMIJIV,98.193,81.693,81.620,98.498,2.890,190
1,ENAQOA,85.802,92.566,89.782,91.933,2.090,151
1,ENAQOA01,89.751,92.515,85.768,92.057,2.970,123
1,EPPRHC10,89.181,90.729,90.729,89.181,3.500,295
1,EPUGEC,89.134,90.053,90.725,90.052,2.110,273
1,ESIZUB,89.422,92.197,87.028,91.283,4.780,296
1,ESIZUB01,87.863,91.891,85.574,94.674,3.750,293
1,ETIPAZ,87.094,91.392,84.394,96.547,3.980,123
1,ETODOH,90.430,85.660,90.038,94.175,3.770,213
1,EVAGEN,86.435,88.185,93.311,92.354,2.100,173
1,EVEKIZ,83.583,95.729,91.459,89.026,4.660,173
1,EWOYUM02,88.109,96.670,90.206,85.185,2.560,100
1,EWOZAT02,93.610,88.185,87.146,91.100,4.510,100
1,EWOZEX02,90.076,87.632,87.352,94.796,2.340,100
1,EXIXIS,97.275,80.734,81.075,101.870,3.800,296
1,EXOXIY,99.420,77.092,94.607,89.244,4.850,293
1,EYADAK,99.738,79.034,79.324,101.904,2.210,100
1,FADLUS,90.351,94.085,83.074,92.477,4.290,110
1,FADLUS,93.031,83.138,93.525,90.291,4.290,110
1,FADWUF,90.146,87.633,89.447,92.771,1.640,100
1,FADXAM,88.745,87.091,93.811,90.347,2.110,100
1,FADXIU,90.078,88.541,87.171,94.208,2.960,100
1,FAFBAS,90.555,93.134,86.532,89.752,2.250,100
1,FAFBAS01,90.721,89.570,87.033,92.666,1.770,150
1,FAFBAS02,90.622,93.052,86.797,89.517,2.140,298
1,FAFBAS03,90.424,93.709,86.538,89.324,3.440,298
1,FAFBAS04,90.622,89.724,86.977,92.669,1.460,100
1,FAFBAS05,90.466,93.263,86.612,89.643,2.320,150
1,FAHYUJ,89.649,91.941,77.335,101.166,2.090,150
1,FAPXUQ,108.081,89.172,76.249,86.496,2.390,173
1,FARVAV,90.452,91.723,89.742,88.088,4.500,295
1,FEGHAB,93.875,92.796,88.461,85.781,4.400,296
1,FEHKAF,90.249,86.158,93.788,89.845,2.710,173
1,FEHWAQ,95.996,86.483,89.828,87.340,3.450,150
1,FENNIW,80.808,89.079,92.407,97.454,3.110,213
1,FENPAQ,81.060,87.545,97.791,93.628,3.250,213
1,FENPEU,80.052,88.227,92.664,99.054,4.310,213
1,FETMOJ,95.470,84.777,99.369,80.613,3.840,100
1,FIFPIT,90.897,88.532,94.124,86.446,3.790,295
1,FIFPIT,93.011,89.377,90.316,87.278,3.790,295
1,FIFVEV,92.108,89.759,89.550,88.769,3.800,295
1,FIRGOC,86.534,92.255,91.486,89.678,3.000,295
1,FIRJUL,84.626,92.851,92.211,90.333,5.000,295
1,FIRJUL,90.146,91.139,92.904,85.748,5.000,295
1,FITHOF,92.666,91.051,88.562,85.777,3.010,295
1,FOBLEN,111.088,78.602,73.714,97.656,3.520,295
1,FODJIR,91.277,90.302,88.922,89.503,4.800,295
1,FODJIR,91.403,90.146,88.647,89.804,4.800,295
1,FOFZUV,91.112,90.277,91.745,86.865,3.200,295
1,FOMHUK,89.542,89.038,91.306,90.356,2.950,295
1,FORZOC,101.754,70.677,97.776,89.877,3.230,100
1,FOTNIL,87.555,88.235,92.169,91.865,4.700,295
1,FOTNIL,90.355,92.963,86.726,89.959,4.700,295
1,FUBKOC,94.820,95.052,85.083,86.758,2.990,295
1,FUDKEV,96.376,86.912,88.571,94.478,2.700,293
1,FUDKIZ,91.449,90.631,90.259,87.648,3.400,293
1,FUDKOF,86.742,92.355,87.323,93.607,3.180,293
1,FUJHEX,96.160,93.069,85.497,85.239,1.960,198
1,FUJHIB,94.730,93.694,84.792,86.751,2.290,295
1,FUJMII,93.751,81.954,94.073,90.406,1.890,150
1,FUJMOO,82.869,80.262,96.791,99.917,1.610,150
1,FURPEN,78.198,97.922,85.783,98.075,4.400,295
1,FURPEN,77.323,98.018,86.846,98.031,4.400,295
1,FUVRIX,90.752,87.804,94.838,86.667,2.500,153
1,FUZBEH01,91.009,90.692,93.106,85.180,2.380,295
1,FUZBEH02,92.706,89.915,91.562,85.922,4.100,295
1,FUZBEH03,93.602,90.640,91.276,84.542,2.000,147
1,FUZBEH04,90.892,90.557,93.356,85.223,2.090,295
1,FUZBEH05,93.640,90.307,90.776,85.323,1.270,173
1,GAKXIC,101.864,102.069,79.125,77.740,2.220,100
1,GAMTOD,91.870,89.889,93.236,84.746,4.900,295
1,GAQFIN,74.913,101.339,84.123,99.566,4.570,295
1,GATHIT,95.765,86.570,94.719,82.811,4.910,150
1,GEFLEJ,87.619,88.271,89.187,95.102,3.210,193
1,GEHGEF,89.321,91.007,89.255,90.400,2.800,295
1,GELLEO,81.696,91.741,89.414,97.185,3.600,295
1,GELLEO,82.791,91.465,87.611,98.472,3.600,295
1,GEMXIH,90.571,96.527,76.765,96.097,2.970,143
1,GEQZEH,87.165,91.904,95.027,85.935,2.660,295
1,GETWEI,88.203,87.724,89.339,94.741,2.730,100
1,GETWUY,97.251,76.594,99.155,86.995,2.680,100
1,GIPYIN,90.502,87.343,90.477,92.161,2.700,295
1,GIPZAG,80.291,92.366,96.337,103.123,4.040,295
1,GIQQAA,86.744,88.952,90.550,93.171,4.650,100
1,GIQQAA,87.621,88.463,91.523,92.448,4.650,100
1,GIQREF,87.316,91.653,89.796,91.539,4.750,100
1,GIRRIL,81.640,98.360,98.360,81.640,2.560,296
1,GIRROR,83.665,91.139,85.761,99.897,3.620,100
1,GIRSEI,83.368,98.454,86.554,91.544,3.400,100
1,GIRSOS,83.472,100.051,85.501,90.772,3.540,100
1,GIZFIE,95.695,101.500,85.653,79.987,3.100,173
1,GIZFOK,94.998,98.717,83.865,82.712,2.700,173
1,GIZFUQ,84.767,88.400,94.145,92.757,3.200,173
1,GIZFUQ,88.749,87.796,89.786,93.689,3.200,173
1,GIZGAX,98.713,97.517,84.591,82.730,2.800,173
1,GIZGEB,98.220,98.365,80.299,85.288,4.000,173
1,GIZGIF,87.171,87.205,92.526,93.119,2.000,173
1,GOHSIF,87.712,90.882,88.456,92.579,3.100,295
1,GOHSIF,88.481,89.275,90.947,90.453,3.100,295
1,GOPQOR,89.949,89.949,94.034,94.034,3.120,110
1,GOTXUK,91.266,91.752,86.248,90.658,2.460,100
1,GUHSIM,88.966,87.604,88.966,94.576,2.530,173
1,GULJIH,88.416,87.839,93.097,92.328,4.390,103
1,GULJON,93.681,91.972,86.032,88.319,3.050,103
1,GULXIW,96.190,86.412,83.387,94.435,2.000,90
1,GULXOC,96.144,86.892,85.329,97.183,3.820,100
1,GULXOC,96.863,97.037,86.942,83.094,3.820,100
1,GULXUI,96.125,96.764,83.193,87.913,1.840,90
1,GULYAP,96.486,96.789,82.973,87.054,2.450,100
1,GUNWIV,99.850,95.929,84.039,80.021,3.820,295
1,GUWVOK,88.531,95.833,71.632,103.998,4.350,293
1,GUWVOK,88.496,104.492,71.475,95.721,4.350,293
1,HAHQOW,91.049,93.801,87.396,88.300,2.600,295
1,HAHQUC,90.441,93.708,89.251,86.555,2.700,295
1,HAHVUK,80.179,87.720,103.993,87.364,4.260,213
1,HAQFOW,82.524,89.265,87.953,97.991,4.460,296
1,HAYBUG,-999,-999,-999,-999,-999,-999
1,HAYQEF,89.809,92.408,90.526,87.252,1.650,100
1,HAZCIV,91.044,81.163,96.778,91.018,4.180,100
1,HEDWUL,87.928,95.924,87.928,88.393,1.810,160
1,HEFMAJ,88.292,87.380,90.852,93.434,2.910,160
1,HEHFEF,87.327,85.402,95.193,92.044,3.300,165
1,HELSOJ,95.208,83.239,82.726,100.105,2.660,100
1,HELSUP,95.486,83.342,83.882,97.903,3.470,100
1,HELSUP,97.076,83.103,83.855,97.909,3.470,100
1,HEVBIU,91.167,85.339,89.782,93.836,3.980,173
1,HIJLUJ,99.814,79.770,79.456,100.941,3.860,123
1,HIMFOY,79.367,79.671,98.556,103.122,3.300,110
1,HISVOU,89.086,93.319,95.116,82.686,2.610,243
1,HISVOU,82.721,89.038,94.348,93.983,2.610,243
1,HISZIT,92.061,90.265,94.297,83.470,4.740,93
1,HITHUO,57.145,106.218,90.539,107.378,4.840,273
1,HITJAW,56.771,105.365,90.280,108.039,4.590,296
1,HIVHOJ,98.420,82.613,92.605,86.071,2.370,180
1,HIVHUP,89.958,90.223,89.461,89.925,4.070,180
1,HIXZEU,87.928,92.816,88.564,90.714,3.320,120
1,HNBPRH10,95.943,95.943,84.057,84.057,3.400,295
1,HOBPUJ,89.073,92.835,89.753,88.339,4.500,295
1,HOJGUI,82.304,92.192,89.245,96.203,2.570,295
1,HOXMOY,81.889,82.498,97.138,99.306,3.000,293
1,HUJBIX,89.030,90.176,88.578,91.733,3.360,299
1,HULZET,90.524,91.500,87.106,90.864,4.770,293
1,IBEWOE,104.192,79.983,82.465,92.866,3.020,103
1,IBIHUZ,80.544,84.194,99.268,96.001,3.500,93
1,IBINIQ,78.873,93.932,91.368,95.694,2.380,120
1,IBINIQ,96.379,90.754,94.823,78.305,2.380,120
1,ICASEK,69.385,103.684,88.893,98.038,2.660,178
1,ICIVOH,88.642,91.393,92.471,87.539,4.020,173
1,ICIVOH,88.491,91.251,91.832,88.448,4.020,173
1,ICIWEY,91.748,88.056,89.262,91.365,2.360,100
1,ICUCOA,99.044,81.348,81.189,98.491,2.320,100
1,ICUHUJ,91.382,90.769,88.752,88.791,2.730,160
1,IDEKUY,92.052,84.425,93.308,90.215,3.570,193
1,IDOWIH,63.881,102.391,89.686,104.043,2.540,180
1,IFIRUN,83.070,81.096,97.231,99.531,2.990,110
1,IFITUN,71.044,101.297,90.821,96.810,2.570,100
1,IFITUN,95.385,94.772,98.919,71.246,2.570,100
1,IHUVEM,77.388,90.784,101.714,89.954,4.570,173
1,IJAKUZ,87.591,90.952,88.999,92.507,4.660,293
1,IKIPOI,94.673,85.562,90.330,89.535,2.800,150
1,IKIPOI,95.444,84.550,91.647,88.300,2.800,150
1,IKOCAN,97.989,87.406,91.934,91.451,2.720,200
1,ILIBIP,100.869,79.010,79.562,100.546,3.620,153
1,INIDAK,87.887,93.955,93.955,87.887,4.240,150
1,IPRHRH,109.154,109.317,69.855,71.746,2.500,123
1,IQAZOP,84.409,92.032,93.195,90.283,4.040,293
1,IQAZOP,84.574,91.280,90.920,93.310,4.040,293
1,IQAZUV,84.267,92.125,91.542,92.051,2.170,150
1,IQEVOP,94.602,88.132,87.775,89.487,4.730,120
1,IQIZIR,94.041,88.231,92.461,85.990,3.540,298
1,IRUYOJ,89.209,90.871,91.881,88.237,3.200,150
1,IXADOB,94.497,88.159,87.018,91.212,4.090,297
1,IXAWAF,78.689,97.196,86.678,97.489,3.870,193
1,IXAWAF,99.216,86.370,96.045,78.350,3.870,193
1,IXAWEJ,78.374,106.459,85.512,94.661,2.090,193
1,IXAWEJ,93.956,85.827,103.289,78.308,2.090,193
1,IXAWIN,86.054,93.322,85.919,94.181,4.830,193
1,IXAWIN,96.061,85.815,93.271,85.054,4.830,193
1,IXAWUZ,86.567,95.835,82.910,94.568,2.420,193
1,IXAWUZ,86.819,93.970,82.834,96.392,2.420,193
1,IXAXAG,83.283,95.558,86.012,95.558,3.760,193
1,IYAKIC,117.460,97.959,97.705,46.860,4.100,134
1,IYIXUK,79.886,94.269,94.738,91.126,4.480,93
1,IYOXOK,93.305,111.784,92.778,127.589,2.280,100
1,IZOSIB,87.301,95.135,83.207,94.064,4.390,123
1,IZOSIB,88.136,94.993,82.601,94.611,4.390,123
1,IZUPID,97.280,83.725,97.051,81.981,2.360,173
1,JAFVOC,89.418,91.072,90.640,88.887,3.360,293
1,JAFVUI,87.765,88.313,91.097,92.850,3.200,293
1,JAFWET,88.723,89.908,91.097,90.380,4.550,153
1,JAGMOT,51.672,95.729,103.674,108.354,4.530,295
1,JAGRIS,88.429,95.242,89.256,87.078,4.900,295
1,JAGRIS10,88.429,95.242,89.256,87.078,4.900,295
1,JAGROY,89.575,93.418,90.084,87.104,2.400,295
1,JAGROY10,89.575,93.418,90.084,87.104,2.300,295
1,JANNOB,87.119,92.631,87.562,92.704,4.100,295
1,JAQGAK,90.028,86.494,92.182,91.690,4.740,153
1,JASPEZ,88.073,88.073,91.927,91.927,4.990,293
1,JAVTUW,85.447,94.576,88.241,92.401,3.260,173
1,JAVVAE,90.669,89.815,90.954,89.152,2.790,173
1,JAVVEI,86.296,91.688,91.802,90.237,3.650,173
1,JAVVIM,89.166,89.616,91.041,89.748,4.870,173
1,JAVVIM,90.003,89.438,92.266,88.338,4.870,173
1,JAVVOS,88.892,90.518,89.837,91.462,2.940,173
1,JAVVOS,89.703,89.436,89.976,90.826,2.940,173
1,JAVVUY,87.204,91.246,89.103,92.464,3.410,173
1,JAZDAQ,94.731,97.658,87.794,80.535,3.110,160
1,JEFZAV,83.280,88.189,93.744,94.957,2.200,295
1,JEGKOW,86.745,98.668,84.007,90.620,3.440,73
1,JESBEO,80.798,87.017,95.033,97.597,3.100,295
1,JESBEO,99.674,94.455,85.281,81.282,3.100,295
1,JETZAM,105.872,109.831,118.007,109.831,4.520,100
1,JEXHUQ,86.592,86.592,93.408,93.408,2.730,173
1,JEZPUZ01,93.362,86.638,93.362,86.638,3.300,295
1,JIFYIJ,89.985,92.682,86.513,90.712,2.050,125
1,JIFZAC,83.164,94.244,89.252,93.230,2.520,125
1,JIGSIE,89.821,101.568,77.016,93.531,3.600,150
1,JIHHEQ,83.484,93.407,91.432,91.702,2.150,150
1,JIVJEE,96.715,83.285,83.286,96.714,2.880,120
1,JIYKAE,83.498,80.473,103.174,92.554,3.900,120
1,JIYKAE,83.936,79.868,99.294,97.340,3.900,120
1,JIZKAH,94.546,89.249,89.788,86.434,4.610,100
1,JOBBEK,92.108,91.737,89.835,86.563,3.780,294
1,JOCHEQ,84.924,93.615,88.393,93.263,3.880,100
1,JOCHIU,90.385,92.369,84.704,92.629,2.860,100
1,JOCHOA,85.968,92.119,88.906,93.008,3.330,100
1,JOCHUG,89.935,91.355,86.154,92.770,3.950,100
1,JONGIC,74.834,89.190,94.924,101.684,4.400,113
1,JONGIC,102.278,92.268,92.024,74.901,4.400,113
1,JUNNIR,92.623,84.443,98.908,84.028,1.750,200
1,JUNNUD,84.848,99.174,83.049,93.197,3.060,200
1,JUNPEP,82.417,100.541,82.996,100.291,2.200,200
1,JUNPIT,81.751,89.392,91.018,98.136,2.150,150
1,JUNPOZ,90.432,100.294,90.393,79.814,3.950,150
1,JUNQAM,95.628,92.423,90.310,82.785,3.340,150
