Date_Time,Rainfall,Solar_Energy,Relative_Humidity,Temperature,ObjectId
2015/01/01 09:00:00+00,0,2.1,98.3,12,274
2015/01/02 09:00:00+00,0.2,13.7,75.4,7.7,275
2015/01/05 09:00:00+00,0,5.7,91.5,9,276
2015/01/11 06:00:00+00,0,0,73.7,5.6,277
2015/01/13 10:00:00+00,0,93.1,87.5,8.4,278
2015/01/23 12:00:00+00,,,,,279
2015/01/27 01:00:00+00,0,0,91.1,6.2,280
2015/01/28 07:00:00+00,0.4,0,100,9.6,281
2015/01/28 23:00:00+00,0,0,85.3,4.4,282
2015/01/30 19:00:00+00,0,0,80.8,4.8,283
2015/01/31 00:00:00+00,0,0,84.7,3.3,284
2015/02/03 10:00:00+00,0,136.1,76.4,2.8,285
2015/02/06 12:00:00+00,0,237.4,70.5,4.6,286
2015/02/11 09:00:00+00,0.2,7.1,89.5,5.4,287
2016/04/05 04:00:00+00,0,0,,,288
2016/04/06 17:00:00+00,0,81.3,,,289
2016/04/15 20:00:00+00,0,0,,,290
2016/04/17 16:00:00+00,0,253,,,291
2016/04/24 03:00:00+00,0,0,,,292
2016/04/26 21:00:00+00,0,0,,,293
2016/04/29 05:00:00+00,0,84.2,,,294
2016/05/01 14:00:00+00,0,202.7,,,295
2016/05/05 00:00:00+00,0,0,,,296
2016/05/06 14:00:00+00,0,368.3,,,297
2016/05/07 07:00:00+00,0,227.1,,,298
2016/05/13 02:00:00+00,0,0,,,299
2016/05/13 12:00:00+00,0,745.6,,,300
2016/10/27 11:00:00+00,0,254.6,,,301
2016/10/28 00:00:00+00,0,0,,,302
2016/11/03 02:00:00+00,0,0,,,303
2016/11/05 14:00:00+00,0,146.1,,,304
2016/11/05 19:00:00+00,0,0,,,305
2016/11/07 04:00:00+00,0,0,,,306
2016/11/08 17:00:00+00,0,0.1,,,307
2016/11/08 22:00:00+00,1.8,0,,,308
2016/11/09 00:00:00+00,3.5,0,,,309
2016/11/12 17:00:00+00,0,3,,,310
2016/11/12 23:00:00+00,0,0,,,311
2016/11/18 13:00:00+00,0,253.7,,,312
2016/11/21 05:00:00+00,0.4,0,,,313
2016/11/24 18:00:00+00,0,0,,,314
2016/11/25 13:00:00+00,0,248.9,,,315
2016/11/25 15:00:00+00,0,80.7,,,316
2016/11/27 14:00:00+00,0,40.6,,,317
2016/11/28 20:00:00+00,0,0,,,318
2016/12/04 02:00:00+00,0,0,,,319
2016/12/06 20:00:00+00,0,0,,,320
